scenario,time,pair,Q_real,Q_imag,R,delta
free,0.0,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.0,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.1,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.1,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.2,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.2,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.3,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.3,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.4,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.4,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.5,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.5,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.6,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.6,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.7000000000000001,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.7000000000000001,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.7000000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.8,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.8,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,0.9,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,0.9,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,0.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.0,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.0,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.1,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.1,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.2,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.2,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.3,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.3,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.4000000000000001,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.4000000000000001,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.4000000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.5,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.5,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.6,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
free,1.6,BC,0.00230686075417591,-0.007420739779384018,0.007771035028391611,-1.2694001544577862
free,1.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
free,1.7,AB,1.0,2.4456244684357855e-11,1.0,2.4456244684357855e-11
