theta,c,C_AB,C_AC,C_BC,three_tangle,S_fixed,S_twirl,D_C
0.0,1.0,0.9999999999999994,0.0,0.0,6.661338147750939e-16,2.8284271247461894,2.8284271247461903,0.0
0.02617993877991494,0.9996573249755573,0.9996573249757374,0.0,0.0,0.0006852326223522054,2.8279425506026716,2.8279425090791364,0.02617694830787315
0.05235987755982988,0.9986295347545738,0.9986295347545877,0.0,0.0,0.0027390523158352664,2.826489658699735,2.8264889942093467,0.05233595624294383
0.07853981633974483,0.996917333733128,0.9969173337331183,0.0,0.0,0.006155829702449989,2.824070941246036,2.824067576303309,0.07845909572784494
0.10471975511965977,0.9945218953682733,0.9945218953682711,0.0,0.0,0.010926199633101263,2.8206905540075833,2.8206799148799027,0.10452846326765346
0.1308996938995747,0.9914448613738104,0.9914448613738133,0.0,0.0,0.017037086855459793,2.8163543194310856,2.81632833167305,0.13052619222005157
0.15707963267948966,0.9876883405951378,0.9876883405951389,0.0,0.0,0.024471741852420736,2.811069731008163,2.8110158090405153,0.15643446504023087
0.18325957145940458,0.9832549075639546,0.9832549075639558,0.0,0.0,0.033209786751395964,2.8048459588708967,2.804745987919943,0.18223552549214744
0.20943951023931953,0.9781476007338057,0.978147600733805,0.0,0.0,0.04322727117870051,2.7976938566049716,2.7975231653335455,0.20791169081775931
0.23561944901923448,0.9723699203976766,0.9723699203976757,0.0,0.0,0.05449673790581766,2.7896259692612437,2.7893522914431355,0.2334453638559054
0.2617993877991494,0.9659258262890683,0.9659258262890679,0.0,0.0,0.06698729810778126,2.7806565425397065,2.780238966157533,0.25881904510252074
0.28797932657906433,0.958819734868193,0.958819734868194,0.0,0.0,0.08066471602728564,2.770801533111104,2.770189435294668,0.2840153447039226
0.3141592653589793,0.9510565162951535,0.9510565162951533,0.0,0.0,0.09549150281252639,2.7600786200305767,2.7592105863010095,0.3090169943749474
0.34033920413889424,0.9426414910921784,0.9426414910921774,0.0,0.0,0.1114270192715161,2.7485072171842555,2.7473099435312505,0.3338068592337709
0.36651914291880916,0.9335804264972017,0.9335804264972019,0.0,0.0,0.1284275872613022,2.7361084866932424,2.7344956630914954,0.3583679495453002
