delta,E_AB,stderr_E,E_c_theory,E_singlet,E_local_branch,E_populations,E_coherence,P_pp,P_pm,P_mp,P_mm,P_A_plus,P_B_plus
-2.2689280275926285,0.6443,0.0017100840768804323,0.6427876096865394,0.6427876096865394,0.32253,0.32098231150189127,0.3218052981846481,0.411215,0.08893,0.08892,0.410935,0.500145,0.500135
-2.181661564992912,0.57293,0.0018326909383472162,0.5735764363510462,0.5735764363510462,0.28706,0.2869958895469756,0.28658054680407063,0.3929,0.1061,0.107435,0.393565,0.499,0.500335
-2.0943951023931957,0.50249,0.0019332664067582617,0.5000000000000002,0.5000000000000002,0.25197,0.25041529204451496,0.2495847079554853,0.376325,0.124005,0.12475,0.37492,0.50033,0.501075
-2.007128639793479,0.41923,0.002030081534200043,0.42261826174069933,0.42261826174069933,0.21316,0.20978869995838423,0.21282956178231507,0.35392,0.144435,0.14595,0.355695,0.498355,0.49987
-1.9198621771937625,0.34392,0.0020996654895482757,0.3420201433256687,0.3420201433256687,0.17185,0.16943701818896137,0.17258312513670734,0.33666,0.164095,0.163945,0.3353,0.500755,0.500605
-1.832595714594046,0.25778,0.0021604970164293214,0.25881904510252063,0.25881904510252063,0.12812,0.12983213943269886,0.12898690566982177,0.31383,0.185465,0.185645,0.31506,0.499295,0.499475
-1.7453292519943295,0.17412,0.0022019107902001844,0.1736481776669303,0.1736481776669303,0.08992,0.08563902446270767,0.0880091532042226,0.29435,0.20561,0.20733,0.29271,0.49996,0.50168
-1.6580627893946132,0.08688,0.0022276129214924213,0.08715574274765824,0.08715574274765824,0.04392,0.043476500532201916,0.04367924221545631,0.270845,0.22911,0.22745,0.272595,0.499955,0.498295
-1.5707963267948966,-0.00316,0.002236056813231721,-6.123233995736766e-17,-6.123233995736766e-17,0.00049,-0.0011870775852592613,0.0011870775852591995,0.25153,0.251055,0.250525,0.24689,0.502585,0.502055
-1.4835298641951802,-0.0862,0.002227745003361022,-0.08715574274765814,-0.08715574274765814,-0.04127,-0.043965059866543095,-0.043190682881115036,0.22818,0.271255,0.271845,0.22872,0.499435,0.500025
-1.3962634015954636,-0.17491,0.0022015977060989137,-0.17364817766693041,-0.17364817766693041,-0.08528,-0.08652766198870468,-0.08712051567822571,0.20711,0.29245,0.295005,0.205435,0.49956,0.502115
-1.3089969389957472,-0.25558,0.002161803487368822,-0.25881904510252074,-0.25881904510252074,-0.13012,-0.12843059640965773,-0.130388448692863,0.185895,0.31386,0.31393,0.186315,0.499755,0.499825
-1.2217304763960306,-0.33972,0.002103081455388735,-0.3420201433256688,-0.3420201433256688,-0.17072,-0.1710528618676462,-0.17096728145802262,0.16647,0.33497,0.33489,0.16367,0.50144,0.50136
-1.1344640137963142,-0.42335,0.0020258020356145367,-0.42261826174069944,-0.42261826174069944,-0.21477,-0.21179517144922363,-0.21082309029147578,0.143875,0.356675,0.355,0.14445,0.50055,0.498875
-1.0471975511965979,-0.49743,0.0019397981790639975,-0.4999999999999999,-0.4999999999999999,-0.247,-0.2506197223166642,-0.2493802776833357,0.12586,0.372725,0.37599,0.125425,0.498585,0.50185
